Date_Session,Program Type,District Name,Mandal Name,School Name,School UDISE Code,Language,Final_Milestone,Student_Count,Expected_Students
2025-08-04,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,10,19
2025-08-04,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,3,19
2025-08-04,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,5,19
2025-08-04,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,1,19
2025-08-04,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,4,4
2025-08-05,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,11,15
2025-08-05,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,6,15
2025-08-05,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,4,15
2025-08-05,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,3,15
2025-08-05,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,18,17
2025-08-06,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,14,16
2025-08-06,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,6,16
2025-08-06,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,16
2025-08-06,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,3,16
2025-08-06,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,1,16
2025-08-06,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,7,1,16
2025-08-06,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,26,22
2025-08-07,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,18,17
2025-08-07,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,17
2025-08-07,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,17
2025-08-07,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,2,17
2025-08-07,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,3,17
2025-08-07,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,1,17
2025-08-07,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,30,10
2025-08-08,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,18,NA
2025-08-08,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,NA
2025-08-08,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,NA
2025-08-08,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,2,NA
2025-08-08,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,3,NA
2025-08-08,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,1,NA
2025-08-08,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,30,NA
2025-08-09,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,19,6
2025-08-09,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,6
2025-08-09,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,6
2025-08-09,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,2,6
2025-08-09,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,2,6
2025-08-09,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,2,6
2025-08-09,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,32,7
2025-08-10,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,19,NA
2025-08-10,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,NA
2025-08-10,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,NA
2025-08-10,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,2,NA
2025-08-10,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,2,NA
2025-08-10,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,2,NA
2025-08-10,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,32,NA
2025-08-11,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,19,NA
2025-08-11,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,NA
2025-08-11,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,NA
2025-08-11,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,2,NA
2025-08-11,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,2,NA
2025-08-11,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,2,NA
2025-08-11,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,32,NA
2025-08-12,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,19,15
2025-08-12,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,8,15
2025-08-12,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,15
2025-08-12,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,2,15
2025-08-12,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,2,15
2025-08-12,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,2,15
2025-08-12,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,35,20
2025-08-13,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,18,26
2025-08-13,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,8,26
2025-08-13,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,26
2025-08-13,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,2,26
2025-08-13,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,4,26
2025-08-13,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,1,26
2025-08-13,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,9,1,26
2025-08-13,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,35,11
2025-08-14,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,18,11
2025-08-14,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,11
2025-08-14,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,3,1,11
2025-08-14,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,11
2025-08-14,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,2,11
2025-08-14,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,4,11
2025-08-14,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,1,11
2025-08-14,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,9,1,11
2025-08-14,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,36,6
2025-08-15,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,18,NA
2025-08-15,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,2,7,NA
2025-08-15,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,3,1,NA
2025-08-15,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,4,2,NA
2025-08-15,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,5,2,NA
2025-08-15,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,6,4,NA
2025-08-15,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,8,1,NA
2025-08-15,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,9,1,NA
2025-08-15,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,kn,1,36,NA
2025-08-16,LAB,Bengaluru U South,JP NAGAR,KPS PRIMARY SCHOOL,10000100011,en,1,20,6
